Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,300,3600.00,USD,
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,600.43,7205.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,369,4428.00,USD,Number of Elastic Network Interfaces (4)
My Estimate,US East (N. Virginia),,S3 Standard,0,2304,27648.00,USD,S3 Standard storage (100 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,3216.29,38595.48,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (1000), Instance type (m6g.2xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,9543.248,114518.98,USD,"Quantity (4), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Additional backup storage (8 TB), Provisioning IOPS (2000)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,454.43,5453.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (1000 per second), Processed bytes per NLB for TLS (0 GB per hour), Average number of new TLS connections ( per second)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,2165.42,25985.04,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (1000), Instance type (t3a.2xlarge)"
My Estimate,US East (N. Virginia),,S3 Glacier,0,40.96,491.52,USD,S3 Glacier storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
