Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
708784bf-d745-4d33-9af2-a6e9cc40fa9f,"2020-12-08, 05:10:14 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383633534246:trail/Udacity_Trail""}]",,us-east-1,,116.122.223.193
ea5b44dd-67ef-402a-8c99-b2bf7ca1bef3,"2020-12-08, 05:10:14 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,116.122.223.193
4d37f7cf-bca1-4443-b45e-53a9635a2a70,"2020-12-08, 05:10:13 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-383633534246-5b84630c""}]",,us-east-1,,116.122.223.193
fe62a970-5b39-4f86-8f80-da2e094ffb4a,"2020-12-08, 05:10:13 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383633534246:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-383633534246-5b84630c""}]",,us-east-1,,116.122.223.193
aa1ad910-c30a-4ea1-8b27-defa6ebdcddd,"2020-12-08, 05:09:15 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-383633534246-5b84630c""}]",,us-east-1,,116.122.223.193
6ba7c84f-803a-493d-ad6b-f0b4e6a51b6a,"2020-12-08, 04:57:45 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
510cd3a3-328c-4069-a307-0f699b5fd36c,"2020-12-08, 04:57:31 PM",CloudTrail,ChangePassword,,,,us-east-1,InternalFailure,AWS Internal
a7bd043a-839b-40d0-ba28-f3a2cfd3436e,"2020-12-08, 04:57:20 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,116.122.223.193
b993064a-a8bc-4a79-8b8a-e00436f7b264,"2020-12-08, 04:56:06 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,116.122.223.193
024e976e-9b89-491d-ade0-306cb609ce5a,"2020-12-08, 04:56:05 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,116.122.223.193
f13bf60c-925e-4905-9599-e528b1d3df2e,"2020-12-08, 04:56:05 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,116.122.223.193
f4181a87-9d73-4bc4-8c3e-cf4ddc9d12b6,"2020-12-08, 04:56:04 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::383633534246:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVSUSXFUTO6MKMBQNG""}]",,us-east-1,,116.122.223.193
9ede8a85-8f17-4e57-aca6-2978f3d49a32,"2020-12-08, 04:55:10 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,116.122.223.193
b0e404f3-4b86-480e-9122-095c2b8ab1d7,"2020-12-08, 04:55:09 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,116.122.223.193
bd469d2d-b4b3-44f3-8aa7-b1595ae20079,"2020-12-08, 04:55:09 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,116.122.223.193
50cb3d8a-be24-4a15-bf40-ad167804d3a0,"2020-12-08, 04:55:08 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::383633534246:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVSUSXFUTLNWZ57CMV""}]",,us-east-1,,116.122.223.193
932f10e7-a8f6-46c8-90cf-d57a78c109bb,"2020-12-08, 04:54:36 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,116.122.223.193
d2c5d59c-bded-44f0-ac62-40685b921e1b,"2020-12-08, 04:54:36 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::383633534246:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVSUSXFUTIS6B7G7YR""}]",,us-east-1,,116.122.223.193
70407df2-055c-43b2-8fde-6a7590986c6e,"2020-12-08, 04:54:11 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::383633534246:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVSUSXFUTD236WOLJG""}]",,us-east-1,,116.122.223.193
7c7d6e3b-ba6e-4b4d-be73-91282434b770,"2020-12-08, 04:54:11 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,116.122.223.193
a0242433-6685-4651-a9f1-c0a0f9e32219,"2020-12-08, 04:54:11 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrail_FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,116.122.223.193
cec0771a-859d-40a9-9620-2a9742b41546,"2020-12-08, 04:50:28 PM",root,ConsoleLogin,,,,us-east-1,,116.122.223.193
