Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,300,3600.00,USD,
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,74.83,897.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,369,4428.00,USD,Number of Elastic Network Interfaces (4)
My Estimate,US East (N. Virginia),,S3 Standard,0,117.76,1413.12,USD,S3 Standard storage (5 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,674.42,8093.04,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (500), Instance type (t3.large)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3682.256,44187.07,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (100 GB), Additional backup storage (2 TB), Provisioning IOPS (500)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,20.81,249.72,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (1 GB per hour), Average number of new TCP connections (500 per second), Processed bytes per NLB for TLS (0 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,959.04,11508.48,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No UpFront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1.5 TB), Provisioning IOPS (500), Instance type (m4.large)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
